order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,delivery_discount,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD127303,ID5167159981,2022-01-23,Bakers,"[('Candle Inferno', 1), ('iAssist Line', 2), ('pearTV', 1), ('Universe Note', 2)]",18090,68.578,-37.8124771,145.00383480000005,25,Summer,True,0.8054,loving it! so far i am loving this phone. only had it 2 days but very impressed. the battery life is outstanding. if you tried of alcons or olivia and want to try something new then i recommend this phone.,True
ORD473476,ID4655086233,2022-12-19,Thompson,"[('Universe Note', 1), ('Toshika 750', 1), ('Thunder line', 2), ('iStream', 1)]",12280,85.119,-37.8106759,144.94620690000005,0,Summer,True,0.2349,"pixel 3xl rocks i prefer this one instead of pixel 4, still thinking pixel 4 costs too much comparing with other phones in the same status of top gamma",True
ORD172541,ID1985561682,2022-09-19,Nickolson,"[('Olivia x460', 1), ('iStream', 2), ('Universe Note', 2), ('Candle Inferno', 2)]",9285,36.131,-37.81674829999999,144.96998069999995,50,Spring,False,0.20901,great phone for the cost great phone!,True
ORD453028,ID0400738474,2022-03-03,Thompson,"[('Thunder line', 1), ('iStream', 2), ('Candle Inferno', 1)]",2910,48.714,-37.8119969,144.9415189,0,Autumn,False,0.49386,don’t waste your money worst phone i’ve ever had in my life. has a mind of its own- clicks on whatever it wants and downloads whatever it wants. honestly feel like i was given a phone that had a virus before. would rate 0 stars if possible.,False
ORD015901,ID0282825823,2022-10-29,Thompson,"[('Thunder line', 1), ('pearTV', 1), ('iAssist Line', 2)]",12940,39.404,-37.8026232,144.9486575,50,Spring,False,1.12743,"came early arrived early.nice phone..be nice to get discount on the purchase of true hard case,,which by the way are around 40$..not cheap but highly recommend thx",True
ORD444167,ID0247298487,2022-07-24,Thompson,"[('pearTV', 2), ('Lucent 330S', 1), ('iStream', 2)]",14150,61.571,-37.799185,144.9607965,25,Winter,True,1.92668,love the phone love the phone. not a big fan of 4.3. very buggy. excited for the update. no phone even comes close in terms of functionality.,True
ORD276271,ID0305106879,2022-12-03,Thompson,"[('Lucent 330S', 1), ('Universe Note', 1), ('iAssist Line', 2), ('Olivia x460', 2)]",11580,37.131,-37.8086535,144.9443381,50,Summer,True,0.50784,"picture is deceiving knew i was getting a used phone, but this is the worse purchase i ever made with digico. scratches all over the phone, some buttons don't work well. and when im talking it sounds like im under water. very disappointed.",False
ORD460492,ID0163634432,2022-07-28,Thompson,"[('Toshika 750', 1), ('Universe Note', 1)]",7770,60.699,-37.82438670000001,144.9530682,25,Winter,True,1.40659,recommended 5++ stars. brand new and high quality product. best performance. fast shipping. best seller.,True
ORD392126,ID3924911403,2022-07-12,Nickolson,"[('Candle Inferno', 2), ('Alcon 10', 1), ('Lucent 330S', 2), ('Toshika 750', 1)]",16590,44.248,-37.81330420000001,144.96560490000005,25,Winter,True,0.68359,at&t unlocked? it came in an at&t box. this is enough for a one star review. any product bearing third party logos when they were not in the title does not deserve anything better. the title of the product was misleading. i guess this phone is loaded to the brim with bloatware. i'm disappointed before i even open it. this is a bait and switch.,False
ORD362191,ID1271016180,2022-10-07,Thompson,"[('Thunder line', 2), ('Universe Note', 2), ('Toshika 750', 1), ('Lucent 330S', 1)]",16810,45.83,-37.8154808,144.9414181,25,Spring,False,0.58705,one star phone glitches a lot. it ended up lasting me 3 months before it gave out,False
